Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/05/2020,03/21/2020,03/21/2020,By week,Mississippi,Week-ending,,606,0.97,50,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Mississippi,Week-ending,14,673,1.15,59,,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Mississippi,Week-ending,49,679,1.09,82,22,,110,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Mississippi,Week-ending,57,650,1.08,78,31,,105,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Mississippi,Week-ending,50,661,1.11,77,23,0,104,
05/05/2020,04/25/2020,04/25/2020,By week,Mississippi,Week-ending,27,528,0.89,50,,0,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Mississippi,Week-ending,0,237,0.35,19,0,0,19,
05/05/2020,02/01/2020,02/01/2020,By week,Missouri,Week-ending,0,1344,1,86,0,12,98,
05/05/2020,02/08/2020,02/08/2020,By week,Missouri,Week-ending,0,1308,0.96,71,0,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Missouri,Week-ending,0,1324,0.94,65,0,13,78,
05/05/2020,02/22/2020,02/22/2020,By week,Missouri,Week-ending,0,1330,0.99,61,0,30,91,
05/05/2020,02/29/2020,02/29/2020,By week,Missouri,Week-ending,0,1318,1.01,88,0,24,112,
05/05/2020,03/07/2020,03/07/2020,By week,Missouri,Week-ending,0,1301,1,85,0,22,107,
05/05/2020,03/14/2020,03/14/2020,By week,Missouri,Week-ending,0,1205,0.92,76,0,20,96,
05/05/2020,03/21/2020,03/21/2020,By week,Missouri,Week-ending,,1175,0.88,60,,22,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Missouri,Week-ending,12,1211,0.95,98,,13,116,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Missouri,Week-ending,41,1147,0.94,100,18,,129,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Missouri,Week-ending,71,1238,1.02,90,22,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Missouri,Week-ending,50,1014,0.83,71,13,,110,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Missouri,Week-ending,23,718,0.59,49,,0,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Missouri,Week-ending,,228,0.18,10,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Montana,Week-ending,0,217,1.05,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Montana,Week-ending,0,202,0.94,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Montana,Week-ending,0,198,0.9,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Montana,Week-ending,0,218,0.97,15,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Montana,Week-ending,0,235,1.14,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Montana,Week-ending,0,218,0.96,12,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Montana,Week-ending,0,218,1.06,11,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Montana,Week-ending,0,225,1.09,21,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Montana,Week-ending,,201,1.1,21,,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Montana,Week-ending,,173,0.85,12,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Montana,Week-ending,0,192,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Montana,Week-ending,0,121,0.6,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Montana,Week-ending,0,94,0.49,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Montana,Week-ending,0,33,0.18,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Nebraska,Week-ending,0,372,1.07,28,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Nebraska,Week-ending,0,345,0.94,21,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Nebraska,Week-ending,0,325,0.94,28,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Nebraska,Week-ending,0,316,0.87,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Nebraska,Week-ending,0,340,0.98,22,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Nebraska,Week-ending,0,355,1.01,29,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Nebraska,Week-ending,0,337,0.95,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Nebraska,Week-ending,0,341,1.08,31,0,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Nebraska,Week-ending,,322,0.91,20,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Nebraska,Week-ending,,299,0.86,29,,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Nebraska,Week-ending,11,303,0.92,19,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Nebraska,Week-ending,,245,0.7,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Nebraska,Week-ending,0,185,0.32,12,0,0,12,
05/05/2020,05/02/2020,05/02/2020,By week,Nebraska,Week-ending,0,56,0,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Nevada,Week-ending,0,528,1,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Nevada,Week-ending,0,575,1.06,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Nevada,Week-ending,0,527,1.05,29,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Nevada,Week-ending,0,542,1.06,24,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Nevada,Week-ending,0,538,0.98,39,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,Nevada,Week-ending,0,527,1.02,32,0,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,Nevada,Week-ending,0,500,0.93,43,0,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Nevada,Week-ending,,493,0.96,45,,,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Nevada,Week-ending,17,521,1.06,56,15,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Nevada,Week-ending,38,557,1.09,70,29,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Nevada,Week-ending,48,530,1.04,81,37,0,92,
05/05/2020,04/18/2020,04/18/2020,By week,Nevada,Week-ending,31,435,0.85,38,25,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Nevada,Week-ending,23,267,0.47,28,19,0,32,
05/05/2020,05/02/2020,05/02/2020,By week,Nevada,Week-ending,0,21,0.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,New Hampshire,Week-ending,0,240,0.89,12,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,New Hampshire,Week-ending,0,257,1.01,12,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,New Hampshire,Week-ending,0,236,0.87,10,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,New Hampshire,Week-ending,0,277,1.05,25,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,New Hampshire,Week-ending,0,228,0.94,14,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,New Hampshire,Week-ending,0,268,1.05,16,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,New Hampshire,Week-ending,0,238,1.01,19,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,New Hampshire,Week-ending,0,252,1.09,20,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,New Hampshire,Week-ending,,258,1.09,24,,0,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,New Hampshire,Week-ending,10,244,0.96,13,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,New Hampshire,Week-ending,18,267,1.23,25,,0,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,New Hampshire,Week-ending,15,239,1,16,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,New Hampshire,Week-ending,12,237,0.96,25,,0,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,New Hampshire,Week-ending,,104,0.41,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,New Jersey,Week-ending,0,1511,0.95,83,0,10,93,
05/05/2020,02/08/2020,02/08/2020,By week,New Jersey,Week-ending,0,1486,0.92,82,0,11,93,
05/05/2020,02/15/2020,02/15/2020,By week,New Jersey,Week-ending,0,1481,0.93,76,0,,83,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,New Jersey,Week-ending,0,1486,0.97,79,0,,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,New Jersey,Week-ending,0,1567,1.04,89,0,12,101,
05/05/2020,03/07/2020,03/07/2020,By week,New Jersey,Week-ending,0,1496,0.98,86,0,11,97,
05/05/2020,03/14/2020,03/14/2020,By week,New Jersey,Week-ending,,1461,1,87,0,,97,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,New Jersey,Week-ending,37,1575,1.06,117,22,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,New Jersey,Week-ending,264,2086,1.42,328,143,12,461,
05/05/2020,04/04/2020,04/04/2020,By week,New Jersey,Week-ending,1053,3356,2.29,841,544,,1358,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,New Jersey,Week-ending,1811,4238,2.98,1235,925,,2124,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,New Jersey,Week-ending,1571,3619,2.55,970,745,,1798,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,New Jersey,Week-ending,371,1432,1.05,269,167,,475,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,New Jersey,Week-ending,0,26,0.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,New Mexico,Week-ending,0,359,0.96,26,0,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,New Mexico,Week-ending,0,358,0.89,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,New Mexico,Week-ending,0,373,1,32,0,,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,New Mexico,Week-ending,0,371,0.96,23,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,New Mexico,Week-ending,0,387,1,23,0,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,New Mexico,Week-ending,0,375,1.03,22,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,New Mexico,Week-ending,0,319,0.84,21,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,New Mexico,Week-ending,0,349,0.94,26,0,,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,New Mexico,Week-ending,,327,0.93,20,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,New Mexico,Week-ending,,353,0.98,29,,0,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,New Mexico,Week-ending,17,330,0.88,32,,0,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,New Mexico,Week-ending,18,303,0.87,25,10,0,33,
05/05/2020,04/25/2020,04/25/2020,By week,New Mexico,Week-ending,14,162,0.45,12,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,New Mexico,Week-ending,,20,0.06,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,New York,Week-ending,0,2017,0.98,145,0,16,161,
05/05/2020,02/08/2020,02/08/2020,By week,New York,Week-ending,0,2040,0.96,148,0,20,168,
05/05/2020,02/15/2020,02/15/2020,By week,New York,Week-ending,0,1970,0.96,159,0,13,172,
05/05/2020,02/22/2020,02/22/2020,By week,New York,Week-ending,0,2006,0.96,154,0,23,177,
05/05/2020,02/29/2020,02/29/2020,By week,New York,Week-ending,0,2100,1.04,157,0,16,173,
05/05/2020,03/07/2020,03/07/2020,By week,New York,Week-ending,0,1994,0.96,161,0,23,184,
05/05/2020,03/14/2020,03/14/2020,By week,New York,Week-ending,0,1878,0.94,165,0,19,184,
05/05/2020,03/21/2020,03/21/2020,By week,New York,Week-ending,40,2012,0.99,202,21,13,234,
05/05/2020,03/28/2020,03/28/2020,By week,New York,Week-ending,248,2395,1.22,400,153,15,508,
05/05/2020,04/04/2020,04/04/2020,By week,New York,Week-ending,898,3492,1.81,845,510,13,1242,
05/05/2020,04/11/2020,04/11/2020,By week,New York,Week-ending,1691,4326,2.2,1206,876,11,2028,
05/05/2020,04/18/2020,04/18/2020,By week,New York,Week-ending,1570,3957,2.05,1051,777,,1847,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,New York,Week-ending,718,2564,1.35,528,339,,908,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,New York,Week-ending,13,920,0.45,75,,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,New York City,Week-ending,0,1168,1.02,95,0,19,114,
05/05/2020,02/08/2020,02/08/2020,By week,New York City,Week-ending,0,1169,0.97,95,0,18,113,
05/05/2020,02/15/2020,02/15/2020,By week,New York City,Week-ending,0,1130,0.99,86,0,13,99,
05/05/2020,02/22/2020,02/22/2020,By week,New York City,Week-ending,0,1092,1.01,75,0,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,New York City,Week-ending,0,1105,1.01,83,0,,89,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,New York City,Week-ending,0,1111,1.01,92,0,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,New York City,Week-ending,,1119,1.03,102,,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,New York City,Week-ending,112,1388,1.33,153,35,14,240,
05/05/2020,03/28/2020,03/28/2020,By week,New York City,Week-ending,869,2716,2.64,583,327,45,1132,
05/05/2020,04/04/2020,04/04/2020,By week,New York City,Week-ending,2780,5811,5.64,1625,1161,205,3252,
05/05/2020,04/11/2020,04/11/2020,By week,New York City,Week-ending,3994,7086,6.65,1851,1447,315,4407,
05/05/2020,04/18/2020,04/18/2020,By week,New York City,Week-ending,2929,4844,4.77,1151,982,156,3101,
05/05/2020,04/25/2020,04/25/2020,By week,New York City,Week-ending,1381,2613,2.65,605,493,60,1497,
05/05/2020,05/02/2020,05/02/2020,By week,New York City,Week-ending,111,748,0.62,87,49,,149,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,North Carolina,Week-ending,0,1966,1.01,119,0,15,134,
05/05/2020,02/08/2020,02/08/2020,By week,North Carolina,Week-ending,0,2016,0.99,118,0,20,138,
05/05/2020,02/15/2020,02/15/2020,By week,North Carolina,Week-ending,0,1980,0.99,136,0,25,161,
05/05/2020,02/22/2020,02/22/2020,By week,North Carolina,Week-ending,0,1828,0.92,116,0,29,145,
05/05/2020,02/29/2020,02/29/2020,By week,North Carolina,Week-ending,0,1712,0.89,97,0,29,126,
05/05/2020,03/07/2020,03/07/2020,By week,North Carolina,Week-ending,0,1281,0.66,67,0,13,80,
05/05/2020,03/14/2020,03/14/2020,By week,North Carolina,Week-ending,0,321,0.17,16,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,North Carolina,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,North Carolina,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,North Carolina,Week-ending,0,,0,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,North Carolina,Week-ending,0,0,0,0,0,0,0,
05/05/2020,04/18/2020,04/18/2020,By week,North Carolina,Week-ending,0,0,0,0,0,0,0,
05/05/2020,04/25/2020,04/25/2020,By week,North Carolina,Week-ending,0,0,0,0,0,0,0,
05/05/2020,05/02/2020,05/02/2020,By week,North Carolina,Week-ending,0,0,0,0,0,0,0,
05/05/2020,02/01/2020,02/01/2020,By week,North Dakota,Week-ending,0,130,0.97,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,North Dakota,Week-ending,0,137,1.01,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,North Dakota,Week-ending,0,145,0.99,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,North Dakota,Week-ending,0,174,1.17,11,0,0,11,
05/05/2020,02/29/2020,02/29/2020,By week,North Dakota,Week-ending,0,149,1.06,13,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/07/2020,03/07/2020,By week,North Dakota,Week-ending,0,163,1.19,17,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/14/2020,03/14/2020,By week,North Dakota,Week-ending,0,140,1.08,15,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,North Dakota,Week-ending,0,119,0.86,20,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,North Dakota,Week-ending,,88,0.63,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,North Dakota,Week-ending,,81,0.5,,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,North Dakota,Week-ending,,94,0.68,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,North Dakota,Week-ending,,103,0.72,15,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,North Dakota,Week-ending,,89,0.68,11,,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,North Dakota,Week-ending,,46,0.3,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Ohio,Week-ending,0,2483,0.97,124,0,26,150,
05/05/2020,02/08/2020,02/08/2020,By week,Ohio,Week-ending,0,2523,0.98,128,0,18,146,
05/05/2020,02/15/2020,02/15/2020,By week,Ohio,Week-ending,0,2462,0.99,137,0,23,160,
05/05/2020,02/22/2020,02/22/2020,By week,Ohio,Week-ending,0,2498,0.99,118,0,19,137,
05/05/2020,02/29/2020,02/29/2020,By week,Ohio,Week-ending,0,2422,0.97,120,0,30,150,
05/05/2020,03/07/2020,03/07/2020,By week,Ohio,Week-ending,0,2387,0.94,132,0,18,150,
05/05/2020,03/14/2020,03/14/2020,By week,Ohio,Week-ending,,2320,0.94,128,,38,166,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Ohio,Week-ending,,2097,0.84,135,,21,160,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Ohio,Week-ending,24,2148,0.88,154,,21,190,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Ohio,Week-ending,65,2202,0.87,157,28,,201,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Ohio,Week-ending,54,2101,0.87,153,24,,188,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Ohio,Week-ending,23,1617,0.68,93,11,,107,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/25/2020,04/25/2020,By week,Ohio,Week-ending,,896,0.39,35,,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Ohio,Week-ending,0,281,0.12,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Oklahoma,Week-ending,0,716,0.83,65,0,,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
